word,frequency,lang_code
troca,12810,pt
batalha,12770,pt
steve,12768,pt
ryan,12739,pt
bala,12729,pt
mentira,12715,pt
férias,12706,pt
emergência,12679,pt
toca,12678,pt
americano,12678,pt
coragem,12637,pt
encontrado,12633,pt
vergonha,12631,pt
caiu,12621,pt
longa,12617,pt
estrela,12616,pt
animal,12615,pt
achar,12611,pt
teremos,12602,pt
acção,12579,pt
certamente,12568,pt
tido,12567,pt
juiz,12553,pt
perna,12542,pt
som,12508,pt
desculpas,12484,pt
edifício,12462,pt
vieste,12448,pt
aulas,12431,pt
médicos,12430,pt
will,12411,pt
clientes,12390,pt
enviar,12388,pt
terem,12357,pt
pescoço,12330,pt
lua,12314,pt
fiquem,12313,pt
casaco,12309,pt
monstro,12308,pt
vimos,12305,pt
chaves,12275,pt
gostei,12267,pt
começo,12267,pt
irão,12249,pt
falando,12235,pt
parceiro,12226,pt
ajuda-me,12219,pt
imaginar,12216,pt
recuperar,12197,pt
normalmente,12193,pt
estranha,12192,pt
simpático,12178,pt
valor,12177,pt
cor,12152,pt
histórias,12137,pt
serei,12102,pt
devido,12100,pt
terei,12096,pt
londres,12087,pt
soldado,12087,pt
ajudar-te,12084,pt
encontraram,12079,pt
puder,12068,pt
falas,12065,pt
filmes,12064,pt
richard,12063,pt
